X.clade_name	clade_taxid	SRR9657780_profile_count.txt	SRR9657781_profile_count.txt	SRR9657782_profile_count.txt	SRR9657783_profile_count.txt	SRR9657784_profile_count.txt	SRR9657785_profile_count.txt	SRR9657786_profile_count.txt	SRR9657787_profile_count.txt	SRR9657788_profile_count.txt	SRR9657789_profile_count.txt	SRR9657790_profile_count.txt	SRR9657791_profile_count.txt	SRR9657792_profile_count.txt	SRR9657793_profile_count.txt	SRR9657794_profile_count.txt	SRR9657795_profile_count.txt	SRR9657796_profile_count.txt	SRR9657797_profile_count.txt	SRR9657798_profile_count.txt	SRR9657799_profile_count.txt	SRR9657800_profile_count.txt	SRR9657801_profile_count.txt
k__Bacteria	2	23423	42207	2479	2893	8914	686	4931	36992	10533	36173	7216	6116	48700	8884	14613	42082	7266	8361	27672	4288	24786	29839
k__Bacteria|p__Bacteroidetes	2|976	12599	19211	 674	2061	 905	NA	3424	16491	 3276	18157	3026	 693	28452	6418	 9748	26595	1051	2593	15460	1482	 8923	17051
k__Bacteria|p__Firmicutes	2|1239	 7005	21350	NA	 746	3618	686	1095	 8375	  966	10157	4190	4631	15499	2466	 4865	14053	2623	5768	11681	2559	13105	12030
k__Bacteria|p__Proteobacteria	2|1224	 1781	NA	1805	  86	2907	NA	 172	 7021	 6291	 5035	NA	NA	 1526	NA	NA	  896	3352	NA	NA	 247	NA	  159
k__Bacteria|p__Actinobacteria	2|201174	 1284	 1646	NA	NA	 438	NA	 240	 2159	NA	 2223	NA	 792	 1279	NA	NA	  538	 240	NA	  531	NA	 2758	  599
k__Bacteria|p__Fusobacteria	2|32066	  754	NA	NA	NA	1046	NA	NA	 2946	NA	  601	NA	NA	 1944	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	12599	19211	 674	2061	 345	NA	3424	16491	 3276	18157	3026	 693	28452	6418	 9748	26595	1051	2593	15460	1482	 8923	17051
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	 4247	19343	NA	 613	 172	686	1095	 3612	  966	 9744	4190	4631	14106	2466	 3642	13151	1401	2665	11681	2559	11441	11613
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	 2758	 2007	NA	 133	3446	NA	NA	 3611	NA	NA	NA	NA	 1301	NA	 1223	  902	1222	3103	NA	NA	 1646	  417
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	 1472	NA	1805	  86	1412	NA	NA	 5579	 6291	 5035	NA	NA	 1526	NA	NA	  741	2729	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	 1284	 1646	NA	NA	 438	NA	 240	 2159	NA	 2223	NA	 792	 1279	NA	NA	  538	 240	NA	  474	NA	 2758	  599
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	  754	NA	NA	NA	1046	NA	NA	 2946	NA	  601	NA	NA	 1944	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	  309	NA	NA	NA	1495	NA	 172	 1442	NA	NA	NA	NA	NA	NA	NA	  155	 623	NA	NA	 247	NA	  159
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	12599	19211	 674	2061	 345	NA	3424	16491	 3276	18157	3026	 693	28452	6418	 9748	26595	1051	2593	15460	1482	 8923	17051
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	 4247	19343	NA	 613	 172	686	1095	 3612	  966	 9744	4190	4631	14106	2466	 3642	13151	1401	2665	11681	2559	11441	11613
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	 2212	 2007	NA	NA	NA	NA	NA	 1254	NA	NA	NA	NA	  255	NA	 1223	  902	 944	3103	NA	NA	 1646	  417
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	 1472	NA	1805	  86	1412	NA	NA	 5579	 6291	 5035	NA	NA	 1526	NA	NA	  741	2729	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	  862	 1120	NA	NA	NA	NA	NA	NA	NA	 2223	NA	  82	  335	NA	NA	NA	NA	NA	  474	NA	 2758	  541
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	  754	NA	NA	NA	1046	NA	NA	 2946	NA	  601	NA	NA	 1944	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	  546	NA	NA	 133	3446	NA	NA	 2357	NA	NA	NA	NA	 1046	NA	NA	NA	 278	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	  422	  526	NA	NA	 438	NA	 240	 2159	NA	NA	NA	 710	  944	NA	NA	  538	 240	NA	NA	NA	NA	   58
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	  309	NA	NA	NA	1495	NA	 172	 1442	NA	NA	NA	NA	NA	NA	NA	  155	 623	NA	NA	 247	NA	  159
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	12599	19211	 674	2061	NA	NA	3424	14470	 2869	18157	3026	 693	25413	6418	 9748	26595	 383	2593	15460	1482	 8923	17051
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	 4247	19343	NA	 613	 172	686	1095	 3612	  966	 9744	4190	4631	14106	2466	 3642	13151	1401	2665	11681	2559	11441	11613
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	 2212	 2007	NA	NA	NA	NA	NA	 1254	NA	NA	NA	NA	  255	NA	 1223	  902	 944	3103	NA	NA	 1646	  417
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	 1472	NA	1805	  86	1412	NA	NA	 5579	 6291	 5035	NA	NA	 1526	NA	NA	  741	2729	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	  862	 1120	NA	NA	NA	NA	NA	NA	NA	 2223	NA	  82	  335	NA	NA	NA	NA	NA	  474	NA	 2758	  541
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	2|32066|203490|203491|1129771	  754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	  546	NA	NA	 133	3446	NA	NA	 2357	NA	NA	NA	NA	 1046	NA	NA	NA	 278	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	2|201174|1760|85006|1268	  422	  526	NA	NA	 438	NA	 240	 2159	NA	NA	NA	 710	  944	NA	NA	  538	 240	NA	NA	NA	NA	   58
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	  309	NA	NA	NA	1495	NA	 172	 1442	NA	NA	NA	NA	NA	NA	NA	  155	 623	NA	NA	 247	NA	  159
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	12599	19211	 674	2061	NA	NA	3424	14470	 2869	18157	3026	 693	25413	6418	 9748	26595	 383	2593	15460	1482	 8923	17051
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	2|1239|909932|1843489|31977|29465	 4247	16437	NA	 613	 172	686	1095	 3612	  966	 9488	4148	4429	12861	2466	 3162	11245	1401	2665	10028	2559	10598	10556
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	2|1239|91061|186826|1300|1301	 2212	 2007	NA	NA	NA	NA	NA	 1254	NA	NA	NA	NA	  255	NA	 1223	  902	 944	3103	NA	NA	 1646	  417
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	2|1224|28216|206351|481|482	 1472	NA	1805	  86	1412	NA	NA	 5579	 6291	 5035	NA	NA	 1526	NA	NA	NA	2729	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	  862	 1120	NA	NA	NA	NA	NA	NA	NA	 2223	NA	  82	  335	NA	NA	NA	NA	NA	  474	NA	 2758	  541
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	2|32066|203490|203491|1129771|32067	  754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella	2|1239|91061|1385||1378	  546	NA	NA	 133	3446	NA	NA	 2357	NA	NA	NA	NA	 1046	NA	NA	NA	 278	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia	2|201174|1760|85006|1268|32207	  422	  526	NA	NA	 438	NA	 240	 2159	NA	NA	NA	 710	  944	NA	NA	  538	 240	NA	NA	NA	NA	   58
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	2|1224|1236|135625|712|724	  309	NA	NA	NA	1495	NA	 172	 1442	NA	NA	NA	NA	NA	NA	NA	  155	 623	NA	NA	 247	NA	  159
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	2|976|200643|171549|171552|838|28132	 7295	  545	 506	2061	NA	NA	2006	 8414	 1048	 6066	 745	NA	10139	2665	  329	10472	NA	NA	 3477	1482	NA	 6653
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	2|1239|909932|1843489|31977|29465|39777	 2760	12556	NA	 613	 172	686	 932	 2684	  888	 8182	3026	4325	10885	2060	 3162	 7402	 956	2665	 7559	2559	 9793	 5640
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	2|1239|91061|186826|1300|1301|1318	 2212	 2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  255	NA	 1223	NA	 748	 499	NA	NA	 1646	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_histicola	2|976|200643|171549|171552|838|470565	 2419	15583	NA	NA	NA	NA	1418	NA	  807	  545	 219	 693	 3738	3753	 9086	10338	NA	2593	 2509	NA	 8923	 4691
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	2|1239|909932|1843489|31977|29465|39778	 1408	 3881	NA	NA	NA	NA	NA	  928	NA	  944	 877	NA	NA	 406	NA	 2376	 445	NA	 1763	NA	  805	 4494
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens	2|1224|28216|206351|481|482|484	 1472	NA	 575	NA	1412	NA	NA	 5579	 5529	 5035	NA	NA	  866	NA	NA	NA	2565	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	  862	 1120	NA	NA	NA	NA	NA	NA	NA	 2223	NA	NA	  150	NA	NA	NA	NA	NA	  474	NA	 2758	  541
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_wadei	2|32066|203490|203491|1129771|32067|157687	  754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis	2|1239|91061|1385||1378|84135	  546	NA	NA	 133	3446	NA	NA	 2357	NA	NA	NA	NA	 1046	NA	NA	NA	 278	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_jejuni	2|976|200643|171549|171552|838|1177574	 1082	NA	NA	NA	NA	NA	NA	 1090	NA	  598	NA	NA	 2147	NA	NA	  429	NA	NA	 2530	NA	NA	 2534
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_pallens	2|976|200643|171549|171552|838|60133	  682	  124	NA	NA	NA	NA	NA	 3426	 1014	 5108	NA	NA	 7574	NA	NA	  976	NA	NA	 3735	NA	NA	  350
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_oral_taxon_306	2|976|200643|171549|171552|838|712461	  601	 1627	NA	NA	NA	NA	NA	 1540	NA	  817	 164	NA	  313	NA	NA	 2341	 383	NA	  431	NA	NA	  301
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	2|201174|1760|85006|1268|32207|43675	  422	  526	NA	NA	 438	NA	 240	 2159	NA	NA	NA	 710	  944	NA	NA	  538	 240	NA	NA	NA	NA	   58
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_salivae	2|976|200643|171549|171552|838|228604	  520	 1332	NA	NA	NA	NA	NA	NA	NA	 5023	1898	NA	 1502	NA	  333	 1905	NA	NA	 2778	NA	NA	 2522
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05	2|1224|1236|135625|712|724|1608898	  309	NA	NA	NA	1127	NA	 172	NA	NA	NA	NA	NA	NA	NA	NA	NA	 484	NA	NA	 247	NA	  159
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_T11011_6	2|1239|909932|1843489|31977|29465|2027459	   79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  428	NA	NA	  129	NA	NA	  384	NA	NA	NA
k__Bacteria	2	23423	42207	2479	2893	8914	686	4931	36992	10533	36173	7216	6116	48700	8884	14613	42082	7266	8361	27672	4288	24786	29839
k__Bacteria|p__Firmicutes	2|1239	 7005	21350	NA	 746	3618	686	1095	 8375	  966	10157	4190	4631	15499	2466	 4865	14053	2623	5768	11681	2559	13105	12030
k__Bacteria|p__Bacteroidetes	2|976	12599	19211	 674	2061	 905	NA	3424	16491	 3276	18157	3026	 693	28452	6418	 9748	26595	1051	2593	15460	1482	 8923	17051
k__Bacteria|p__Actinobacteria	2|201174	 1284	 1646	NA	NA	 438	NA	 240	 2159	NA	 2223	NA	 792	 1279	NA	NA	  538	 240	NA	  531	NA	 2758	  599
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	 4247	19343	NA	 613	 172	686	1095	 3612	  966	 9744	4190	4631	14106	2466	 3642	13151	1401	2665	11681	2559	11441	11613
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	12599	19211	 674	2061	 345	NA	3424	16491	 3276	18157	3026	 693	28452	6418	 9748	26595	1051	2593	15460	1482	 8923	17051
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	 2758	 2007	NA	 133	3446	NA	NA	 3611	NA	NA	NA	NA	 1301	NA	 1223	  902	1222	3103	NA	NA	 1646	  417
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	 1284	 1646	NA	NA	 438	NA	 240	 2159	NA	 2223	NA	 792	 1279	NA	NA	  538	 240	NA	  474	NA	 2758	  599
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	 4247	19343	NA	 613	 172	686	1095	 3612	  966	 9744	4190	4631	14106	2466	 3642	13151	1401	2665	11681	2559	11441	11613
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	12599	19211	 674	2061	 345	NA	3424	16491	 3276	18157	3026	 693	28452	6418	 9748	26595	1051	2593	15460	1482	 8923	17051
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	 2212	 2007	NA	NA	NA	NA	NA	 1254	NA	NA	NA	NA	  255	NA	 1223	  902	 944	3103	NA	NA	 1646	  417
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	  862	 1120	NA	NA	NA	NA	NA	NA	NA	 2223	NA	  82	  335	NA	NA	NA	NA	NA	  474	NA	 2758	  541
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	  422	  526	NA	NA	 438	NA	 240	 2159	NA	NA	NA	 710	  944	NA	NA	  538	 240	NA	NA	NA	NA	   58
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	 4247	19343	NA	 613	 172	686	1095	 3612	  966	 9744	4190	4631	14106	2466	 3642	13151	1401	2665	11681	2559	11441	11613
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	12599	19211	 674	2061	NA	NA	3424	14470	 2869	18157	3026	 693	25413	6418	 9748	26595	 383	2593	15460	1482	 8923	17051
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	 2212	 2007	NA	NA	NA	NA	NA	 1254	NA	NA	NA	NA	  255	NA	 1223	  902	 944	3103	NA	NA	 1646	  417
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	  862	 1120	NA	NA	NA	NA	NA	NA	NA	 2223	NA	  82	  335	NA	NA	NA	NA	NA	  474	NA	 2758	  541
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	2|201174|1760|85006|1268	  422	  526	NA	NA	 438	NA	 240	 2159	NA	NA	NA	 710	  944	NA	NA	  538	 240	NA	NA	NA	NA	   58
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	2|1239|909932|1843489|31977|29465	 4247	16437	NA	 613	 172	686	1095	 3612	  966	 9488	4148	4429	12861	2466	 3162	11245	1401	2665	10028	2559	10598	10556
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	12599	19211	 674	2061	NA	NA	3424	14470	 2869	18157	3026	 693	25413	6418	 9748	26595	 383	2593	15460	1482	 8923	17051
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera	2|1239|909932|1843489|31977|906	NA	 2906	NA	NA	NA	NA	NA	NA	NA	  256	  42	 202	 1245	NA	  480	 1906	NA	NA	 1653	NA	  843	 1057
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	2|1239|91061|186826|1300|1301	 2212	 2007	NA	NA	NA	NA	NA	 1254	NA	NA	NA	NA	  255	NA	 1223	  902	 944	3103	NA	NA	 1646	  417
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	  862	 1120	NA	NA	NA	NA	NA	NA	NA	 2223	NA	  82	  335	NA	NA	NA	NA	NA	  474	NA	 2758	  541
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia	2|201174|1760|85006|1268|32207	  422	  526	NA	NA	 438	NA	 240	 2159	NA	NA	NA	 710	  944	NA	NA	  538	 240	NA	NA	NA	NA	   58
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	2|1239|909932|1843489|31977|29465|39777	 2760	12556	NA	 613	 172	686	 932	 2684	  888	 8182	3026	4325	10885	2060	 3162	 7402	 956	2665	 7559	2559	 9793	 5640
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_histicola	2|976|200643|171549|171552|838|470565	 2419	15583	NA	NA	NA	NA	1418	NA	  807	  545	 219	 693	 3738	3753	 9086	10338	NA	2593	 2509	NA	 8923	 4691
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	2|1239|909932|1843489|31977|29465|39778	 1408	 3881	NA	NA	NA	NA	NA	  928	NA	  944	 877	NA	NA	 406	NA	 2376	 445	NA	 1763	NA	  805	 4494
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis	2|1239|909932|1843489|31977|906|187326	NA	 2906	NA	NA	NA	NA	NA	NA	NA	  256	  42	 202	 1245	NA	  480	 1906	NA	NA	 1653	NA	  843	 1057
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	2|1239|91061|186826|1300|1301|1318	 2212	 2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  255	NA	 1223	NA	 748	 499	NA	NA	 1646	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_oral_taxon_306	2|976|200643|171549|171552|838|712461	  601	 1627	NA	NA	NA	NA	NA	 1540	NA	  817	 164	NA	  313	NA	NA	 2341	 383	NA	  431	NA	NA	  301
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	  862	 1120	NA	NA	NA	NA	NA	NA	NA	 2223	NA	NA	  150	NA	NA	NA	NA	NA	  474	NA	 2758	  541
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_salivae	2|976|200643|171549|171552|838|228604	  520	 1332	NA	NA	NA	NA	NA	NA	NA	 5023	1898	NA	 1502	NA	  333	 1905	NA	NA	 2778	NA	NA	 2522
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	2|201174|1760|85006|1268|32207|43675	  422	  526	NA	NA	 438	NA	 240	 2159	NA	NA	NA	 710	  944	NA	NA	  538	 240	NA	NA	NA	NA	   58
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	2|976|200643|171549|171552|838|28132	 7295	  545	 506	2061	NA	NA	2006	 8414	 1048	 6066	 745	NA	10139	2665	  329	10472	NA	NA	 3477	1482	NA	 6653
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_pallens	2|976|200643|171549|171552|838|60133	  682	  124	NA	NA	NA	NA	NA	 3426	 1014	 5108	NA	NA	 7574	NA	NA	  976	NA	NA	 3735	NA	NA	  350
k__Bacteria	2	23423	42207	2479	2893	8914	686	4931	36992	10533	36173	7216	6116	48700	8884	14613	42082	7266	8361	27672	4288	24786	29839
k__Bacteria|p__Proteobacteria	2|1224	 1781	NA	1805	  86	2907	NA	 172	 7021	 6291	 5035	NA	NA	 1526	NA	NA	  896	3352	NA	NA	 247	NA	  159
k__Bacteria|p__Bacteroidetes	2|976	12599	19211	 674	2061	 905	NA	3424	16491	 3276	18157	3026	 693	28452	6418	 9748	26595	1051	2593	15460	1482	 8923	17051
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	 1472	NA	1805	  86	1412	NA	NA	 5579	 6291	 5035	NA	NA	 1526	NA	NA	  741	2729	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	12599	19211	 674	2061	 345	NA	3424	16491	 3276	18157	3026	 693	28452	6418	 9748	26595	1051	2593	15460	1482	 8923	17051
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	 1472	NA	1805	  86	1412	NA	NA	 5579	 6291	 5035	NA	NA	 1526	NA	NA	  741	2729	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	12599	19211	 674	2061	 345	NA	3424	16491	 3276	18157	3026	 693	28452	6418	 9748	26595	1051	2593	15460	1482	 8923	17051
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	 1472	NA	1805	  86	1412	NA	NA	 5579	 6291	 5035	NA	NA	 1526	NA	NA	  741	2729	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	12599	19211	 674	2061	NA	NA	3424	14470	 2869	18157	3026	 693	25413	6418	 9748	26595	 383	2593	15460	1482	 8923	17051
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	2|1224|28216|206351|481|482	 1472	NA	1805	  86	1412	NA	NA	 5579	 6291	 5035	NA	NA	 1526	NA	NA	NA	2729	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	12599	19211	 674	2061	NA	NA	3424	14470	 2869	18157	3026	 693	25413	6418	 9748	26595	 383	2593	15460	1482	 8923	17051
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava	2|1224|28216|206351|481|482|28449	NA	NA	1230	NA	NA	NA	NA	NA	NA	NA	NA	NA	  660	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens	2|1224|28216|206351|481|482|484	 1472	NA	 575	NA	1412	NA	NA	 5579	 5529	 5035	NA	NA	  866	NA	NA	NA	2565	NA	NA	NA	NA	NA
